Unnamed: 0,artist,album_name,rating,album_link,genre
,['M.I.A.'],['Matangi'],['6.5'],['https://pitchfork.com/reviews/albums/18701-mia-matangi/'],['global']
,['Omar Souleyman'],['Wenu Wenu'],['7.2'],['https://pitchfork.com/reviews/albums/18665-omar-souleyman-wenu-wenu/'],['global']
,['Vieux Farka Touré'],['Mon Pays'],['8.0'],['https://pitchfork.com/reviews/albums/18431-vieux-farka-toure-mon-pays/'],['global']
,['Hailu Mergia'],['Hailu Mergia and His Classical Instrument'],['7.4'],['https://pitchfork.com/reviews/albums/18162-hailu-mergia-hailu-mergia-and-his-classical-instrument/'],['global']
,['Etran Finatawa'],['The Sahara Sessions'],['7.1'],['https://pitchfork.com/reviews/albums/18157-etran-finatawa-the-sahara-sessions/'],['global']
,['Yellowman'],"['Young, Gifted & Yellow']",['7.8'],['https://pitchfork.com/reviews/albums/17985-yellowman-young-gifted-yellow/'],['global']
,['Major Lazer'],['Free the Universe'],['5.7'],['https://pitchfork.com/reviews/albums/17627-major-lazer-free-the-universe/'],['global']
,['Rokia Traoré'],['Beautiful Africa'],['8.1'],['https://pitchfork.com/reviews/albums/17846-rokia-traore-beautiful-africa/'],['global']
,['Lloyd Cole'],"['Selected Studies, Vol. 1']",['6.3'],['https://pitchfork.com/reviews/albums/17767-lloyd-cole-hans-joachim-roedelius-selected-studies-vol-1/'],['global']
,['The Congos'],['Icon Give Life'],['5.8'],['https://pitchfork.com/reviews/albums/17526-icon-give-life/'],['global']
,['Janka Nabay and the Bubu Gang'],['En Yay Sah'],['7.3'],['https://pitchfork.com/reviews/albums/16911-en-yay-sah/'],['global']
,['Antibalas'],['Antibalas'],['7.5'],['https://pitchfork.com/reviews/albums/16913-antibalas/'],['global']
,['Jimmy Cliff'],['Rebirth'],['7.5'],['https://pitchfork.com/reviews/albums/16885-rebirth/'],['global']
,['Debo Band'],['Debo Band'],['7.8'],['https://pitchfork.com/reviews/albums/16847-debo-band/'],['global']
,['Fela Kuti'],['Live in Detroit 1986'],['7.9'],['https://pitchfork.com/reviews/albums/16562-live-in-detroit-1986/'],['global']
,['The Congos'],['Icon Give Thank'],['8.1'],['https://pitchfork.com/reviews/albums/16513-icon-give-thank/'],['global']
,['Janka Nabay and the Bubu Gang'],['An Letah'],['7.8'],['https://pitchfork.com/reviews/albums/16472-an-letah/'],['global']
,['Amadou & Mariam'],['Folila'],['7.4'],['https://pitchfork.com/reviews/albums/16435-folila/'],['global']
,['Mighty Sparrow'],"['Sparrowmania: Wit, Wisdom and Soul From the King of Calypso 1962-1974']",['5.8'],['https://pitchfork.com/reviews/albums/16142-mighty-sparrow-sparrowmania/'],['global']
,['Roedelius'],['Wasser Im Wind'],['7.6'],['https://pitchfork.com/reviews/albums/15946-wasser-im-wind/'],['global']
,['Fatoumata Diawara'],['Fatou'],['7.6'],['https://pitchfork.com/reviews/albums/15838-fatou/'],['global']
,['Tinariwen'],['Tassili'],['7.8'],['https://pitchfork.com/reviews/albums/15767-tassili/'],['global']
,['Steve Mason'],['Ghosts Outside'],['6.6'],['https://pitchfork.com/reviews/albums/15704-ghosts-outside/'],['global']
,['Sorry Bamba'],['Volume One 1970-1979'],['7.7'],['https://pitchfork.com/reviews/albums/15646-volume-one-1970-1979/'],['global']
,['Vybz Kartel'],['Kingston Story'],['5.7'],['https://pitchfork.com/reviews/albums/15615-kingston-story/'],['global']
,['Aurelio'],['Laru Beya'],['7.8'],['https://pitchfork.com/reviews/albums/15133-laru-beya/'],['global']
